repository_language,day,count
Scala,15424.0,864
Clojure,15424.0,645
Common Lisp,15424.0,171
D,15424.0,219
Lua,15424.0,372
CoffeeScript,15424.0,657
C#,15424.0,2385
VimL,15424.0,1827
Emacs Lisp,15424.0,735
Lua,15425.0,504
Matlab,15425.0,348
Puppet,15425.0,366
Groovy,15425.0,312
Emacs Lisp,15425.0,1029
Ada,15425.0,27
ActionScript,15425.0,531
Erlang,15425.0,537
Powershell,15425.0,18
CoffeeScript,15425.0,591
Delphi,15425.0,171
Arc,15425.0,9
Nimrod,15425.0,12
Opa,15425.0,3
Tcl,15425.0,15
Eiffel,15425.0,6
Racket,15425.0,96
Turing,15425.0,6
Objective-J,15425.0,33
Factor,15425.0,3
Objective-C,15425.0,3105
AutoHotkey,15425.0,24
Python,15425.0,16095
Java,15425.0,21186
C++,15425.0,10293
HaXe,15425.0,60
Perl,15425.0,2121
PHP,15425.0,15960
C,15425.0,10293
Go,15425.0,531
C#,15425.0,3195
FORTRAN,15425.0,78
Shell,15425.0,4506
VimL,15425.0,2655
Common Lisp,15425.0,186
Visual Basic,15425.0,51
Clojure,15425.0,726
Haskell,15425.0,858
F#,15425.0,66
Scala,15425.0,1425
ASP,15425.0,33
Coq,15425.0,15
Standard ML,15425.0,93
ColdFusion,15425.0,57
OpenEdge ABL,15425.0,48
Elixir,15425.0,48
SuperCollider,15425.0,24
Scilab,15425.0,39
Verilog,15425.0,57
Arduino,15425.0,105
Smalltalk,15425.0,15
VHDL,15425.0,123
D,15425.0,150
XQuery,15425.0,33
Rust,15425.0,177
Assembly,15425.0,168
Prolog,15425.0,84
OCaml,15425.0,267
Nemerle,15425.0,3
Gosu,15425.0,6
Scheme,15425.0,114
Vala,15425.0,75
R,15425.0,483
JavaScript,15425.0,29256
Ruby,15425.0,19890
Emacs Lisp,15426.0,1050
C,15426.0,9687
Java,15426.0,21237
JavaScript,15426.0,28092
Objective-C,15426.0,3192
Python,15426.0,16218
C++,15426.0,10278
PHP,15426.0,15873
XQuery,15426.0,27
Haskell,15426.0,732
F#,15426.0,60
Ruby,15426.0,21444
Shell,15426.0,4515
VimL,15426.0,2718
CoffeeScript,15426.0,837
Perl,15426.0,2265
C#,15426.0,3438
Opa,15426.0,3
Boo,15426.0,3
Eiffel,15426.0,15
Vala,15426.0,42
Turing,15426.0,9
Clojure,15426.0,615
Erlang,15426.0,750
Scala,15426.0,1257
R,15426.0,420
Arduino,15426.0,138
Lua,15426.0,678
Assembly,15426.0,69
Scheme,15426.0,162
Racket,15426.0,75
ActionScript,15426.0,639
Rust,15426.0,129
Powershell,15426.0,30
Verilog,15426.0,33
Common Lisp,15426.0,102
ColdFusion,15426.0,108
AutoHotkey,15426.0,21
D,15426.0,129
Standard ML,15426.0,75
Ada,15426.0,15
HaXe,15426.0,90
