repository_language,day,count
FORTRAN,15419.0,156
Ioke,15419.0,3
Boo,15419.0,6
Prolog,15419.0,87
SuperCollider,15419.0,42
Scilab,15419.0,39
Elixir,15419.0,69
AutoHotkey,15419.0,42
Nemerle,15419.0,54
Tcl,15419.0,39
Io,15419.0,27
Smalltalk,15419.0,9
Turing,15419.0,3
Arc,15419.0,9
Assembly,15419.0,204
ActionScript,15419.0,1131
Objective-C,15419.0,8466
Clojure,15419.0,1587
Perl,15419.0,3534
C#,15419.0,7521
Common Lisp,15419.0,369
Scala,15419.0,2607
Shell,15419.0,6972
Haskell,15419.0,1539
Powershell,15419.0,471
Groovy,15419.0,690
Lua,15419.0,687
CoffeeScript,15419.0,2262
Matlab,15419.0,579
R,15419.0,825
Coq,15419.0,36
Delphi,15419.0,177
Factor,15419.0,6
Puppet,15419.0,624
OCaml,15419.0,426
D,15419.0,531
Racket,15419.0,81
Verilog,15419.0,228
Arduino,15419.0,81
ColdFusion,15419.0,213
Go,15419.0,630
Scheme,15419.0,234
Erlang,15419.0,780
Parrot,15420.0,3
Opa,15420.0,3
Boo,15420.0,3
Max/MSP,15420.0,39
Ada,15420.0,12
Rebol,15420.0,15
Arc,15420.0,3
Ioke,15420.0,3
Assembly,15420.0,261
VimL,15420.0,4962
Matlab,15420.0,768
Emacs Lisp,15420.0,2013
CoffeeScript,15420.0,3579
Groovy,15420.0,1017
Scala,15420.0,2922
D,15420.0,519
Scilab,15420.0,48
Pure Data,15420.0,27
Clojure,15420.0,2043
Lua,15420.0,1653
Prolog,15420.0,198
Erlang,15420.0,1584
Arduino,15420.0,330
HaXe,15420.0,186
Haskell,15420.0,2229
Common Lisp,15420.0,387
ActionScript,15420.0,1341
Nemerle,15420.0,90
R,15420.0,1263
Visual Basic,15420.0,213
Puppet,15420.0,1128
Rust,15420.0,537
OCaml,15420.0,672
Powershell,15420.0,159
Ruby,15420.0,55161
Python,15420.0,45972
JavaScript,15420.0,83985
Objective-J,15420.0,105
ColdFusion,15420.0,261
VHDL,15420.0,144
Delphi,15420.0,336
Objective-C,15420.0,10902
Java,15420.0,52158
Tcl,15420.0,66
Standard ML,15420.0,57
C#,15420.0,9999
F#,15420.0,201
Scheme,15420.0,189
FORTRAN,15420.0,204
Vala,15420.0,69
AutoHotkey,15420.0,57
OpenEdge ABL,15420.0,102
C++,15420.0,23856
Perl,15420.0,4857
PHP,15420.0,38625
C,15420.0,25782
Shell,15420.0,10416
Fancy,15420.0,6
Go,15420.0,717
Verilog,15420.0,222
Elixir,15420.0,24
Nimrod,15420.0,9
Io,15420.0,9
Bro,15420.0,6
Turing,15420.0,12
Dylan,15420.0,63
Smalltalk,15420.0,12
Coq,15420.0,42
Gosu,15420.0,27
SuperCollider,15420.0,54
Eiffel,15420.0,114
XQuery,15420.0,114
ASP,15420.0,117
Racket,15420.0,72
D,15421.0,348
VHDL,15421.0,57
Racket,15421.0,99
ColdFusion,15421.0,180
Nemerle,15421.0,117
Rust,15421.0,216
Assembly,15421.0,231
Arduino,15421.0,120
F#,15421.0,126
Prolog,15421.0,294
AutoHotkey,15421.0,39
Lua,15421.0,1092
ActionScript,15421.0,1095
Emacs Lisp,15421.0,1863
CoffeeScript,15421.0,2040
Common Lisp,15421.0,297
ooc,15421.0,3
Turing,15421.0,3
Objective-J,15421.0,132
Objective-C,15421.0,9219
Puppet,15421.0,645
Scheme,15421.0,192
HaXe,15421.0,99
Arc,15421.0,9
Ada,15421.0,18
Gosu,15421.0,3
OCaml,15421.0,513
FORTRAN,15421.0,96
Dylan,15421.0,3
Coq,15421.0,21
Powershell,15421.0,99
Elixir,15421.0,18
Delphi,15421.0,297
Eiffel,15421.0,99
Erlang,15421.0,1344
Verilog,15421.0,303
ASP,15421.0,117
Boo,15421.0,6
Haskell,15421.0,1494
Scilab,15421.0,24
Standard ML,15421.0,66
Go,15421.0,705
Groovy,15421.0,1074
R,15421.0,720
SuperCollider,15421.0,21
C#,15421.0,7836
VimL,15421.0,3690
Java,15421.0,40989
Python,15421.0,35451
Ruby,15421.0,44724
C++,15421.0,17112
PHP,15421.0,30504
JavaScript,15421.0,66690
Smalltalk,15421.0,24
Shell,15421.0,8658
Perl,15421.0,4050
Scala,15421.0,2826
Tcl,15421.0,195
Matlab,15421.0,540
Clojure,15421.0,1536
C,15421.0,20943
OpenEdge ABL,15421.0,45
Nimrod,15421.0,21
Io,15421.0,3
Nu,15421.0,3
Max/MSP,15421.0,9
Factor,15421.0,3
Parrot,15421.0,9
Vala,15421.0,54
Visual Basic,15421.0,90
Gosu,15422.0,3
Boo,15422.0,6
Fancy,15422.0,3
Opa,15422.0,3
Arc,15422.0,6
Emacs Lisp,15422.0,1308
Objective-J,15422.0,186
Racket,15422.0,117
OCaml,15422.0,432
ColdFusion,15422.0,246
Lua,15422.0,798
Groovy,15422.0,759
D,15422.0,411
HaXe,15422.0,93
Clojure,15422.0,1158
ASP,15422.0,69
VHDL,15422.0,117
Matlab,15422.0,372
Vala,15422.0,138
R,15422.0,735
Coq,15422.0,45
Puppet,15422.0,516
C++,15422.0,14169
Perl,15422.0,3957
Python,15422.0,27660
Java,15422.0,34842
Ruby,15422.0,39462
JavaScript,15422.0,56985
C,15422.0,17358
PHP,15422.0,27303
Objective-C,15422.0,8226
Delphi,15422.0,255
Erlang,15422.0,930
VimL,15422.0,3276
CoffeeScript,15422.0,1530
Scala,15422.0,2838
C#,15422.0,6399
ActionScript,15422.0,969
Shell,15422.0,7503
Scheme,15422.0,141
SuperCollider,15422.0,9
OpenEdge ABL,15422.0,33
Nimrod,15422.0,12
Pure Data,15422.0,6
Smalltalk,15422.0,6
Io,15422.0,9
XQuery,15422.0,12
Rebol,15422.0,30
Ada,15422.0,36
Turing,15422.0,6
Scilab,15422.0,18
AutoHotkey,15422.0,30
Standard ML,15422.0,33
Nemerle,15422.0,9
Tcl,15422.0,84
Fantom,15422.0,9
Haskell,15422.0,1455
Prolog,15422.0,75
Common Lisp,15422.0,360
FORTRAN,15422.0,123
Eiffel,15422.0,75
Elixir,15422.0,24
Rust,15422.0,195
Go,15422.0,489
F#,15422.0,183
Assembly,15422.0,147
Powershell,15422.0,54
Verilog,15422.0,114
Visual Basic,15422.0,54
Arduino,15422.0,198
FORTRAN,15423.0,9
Boo,15423.0,3
Opa,15423.0,3
ActionScript,15423.0,939
Ioke,15423.0,135
D,15423.0,339
Clojure,15423.0,1065
F#,15423.0,186
Elixir,15423.0,78
AutoHotkey,15423.0,39
OpenEdge ABL,15423.0,9
Assembly,15423.0,117
Haskell,15423.0,1179
Erlang,15423.0,474
Racket,15423.0,63
Verilog,15423.0,66
VHDL,15423.0,150
Rust,15423.0,228
Groovy,15423.0,390
ColdFusion,15423.0,93
C#,15423.0,4065
C,15423.0,12927
VimL,15423.0,2940
CoffeeScript,15423.0,1254
Powershell,15423.0,81
C++,15423.0,11178
SuperCollider,15423.0,3
Puppet,15423.0,225
R,15423.0,408
XQuery,15423.0,12
Shell,15423.0,5250
Perl,15423.0,5193
Common Lisp,15423.0,141
